race,k,A1,optimization_repeatability__A1__mean,optimization_repeatability__A1__std,optimization_repeatability__A1__q05,optimization_repeatability__A1__q95,local_robustness__A1__mean,local_robustness__A1__std,local_robustness__A1__q05,local_robustness__A1__q95,structural_stress__A1__mean,structural_stress__A1__std,structural_stress__A1__q05,structural_stress__A1__q95,A2,optimization_repeatability__A2__mean,optimization_repeatability__A2__std,optimization_repeatability__A2__q05,optimization_repeatability__A2__q95,local_robustness__A2__mean,local_robustness__A2__std,local_robustness__A2__q05,local_robustness__A2__q95,structural_stress__A2__mean,structural_stress__A2__std,structural_stress__A2__q05,structural_stress__A2__q95,A3,optimization_repeatability__A3__mean,optimization_repeatability__A3__std,optimization_repeatability__A3__q05,optimization_repeatability__A3__q95,local_robustness__A3__mean,local_robustness__A3__std,local_robustness__A3__q05,local_robustness__A3__q95,structural_stress__A3__mean,structural_stress__A3__std,structural_stress__A3__q05,structural_stress__A3__q95,normalized_entropy,optimization_repeatability__tv_mean,optimization_repeatability__tv_q95,optimization_repeatability__tv_max,local_robustness__tv_mean,local_robustness__tv_q95,local_robustness__tv_max,structural_stress__tv_mean,structural_stress__tv_q95,structural_stress__tv_max,A4,optimization_repeatability__A4__mean,optimization_repeatability__A4__std,optimization_repeatability__A4__q05,optimization_repeatability__A4__q95,local_robustness__A4__mean,local_robustness__A4__std,local_robustness__A4__q05,local_robustness__A4__q95,structural_stress__A4__mean,structural_stress__A4__std,structural_stress__A4__q05,structural_stress__A4__q95,A5,optimization_repeatability__A5__mean,optimization_repeatability__A5__std,optimization_repeatability__A5__q05,optimization_repeatability__A5__q95,local_robustness__A5__mean,local_robustness__A5__std,local_robustness__A5__q05,local_robustness__A5__q95,structural_stress__A5__mean,structural_stress__A5__std,structural_stress__A5__q05,structural_stress__A5__q95,A6,optimization_repeatability__A6__mean,optimization_repeatability__A6__std,optimization_repeatability__A6__q05,optimization_repeatability__A6__q95,local_robustness__A6__mean,local_robustness__A6__std,local_robustness__A6__q05,local_robustness__A6__q95,structural_stress__A6__mean,structural_stress__A6__std,structural_stress__A6__q05,structural_stress__A6__q95,A7,optimization_repeatability__A7__mean,optimization_repeatability__A7__std,optimization_repeatability__A7__q05,optimization_repeatability__A7__q95,local_robustness__A7__mean,local_robustness__A7__std,local_robustness__A7__q05,local_robustness__A7__q95,structural_stress__A7__mean,structural_stress__A7__std,structural_stress__A7__q05,structural_stress__A7__q95,A8,optimization_repeatability__A8__mean,optimization_repeatability__A8__std,optimization_repeatability__A8__q05,optimization_repeatability__A8__q95,local_robustness__A8__mean,local_robustness__A8__std,local_robustness__A8__q05,local_robustness__A8__q95,structural_stress__A8__mean,structural_stress__A8__std,structural_stress__A8__q05,structural_stress__A8__q95
khorne,3,0.220770568,0.214727881,0.017033925,0.189396677,0.220800226,0.205511759,0.029621355,0.155743621,0.251719261,0.207844572,0.122843697,0.061438016,0.405772528,0.000000000,0.023187072,0.065582942,0.000000000,0.120572772,0.056579286,0.084827872,0.000000000,0.203578173,0.158997530,0.211404821,0.000000000,0.604829409,0.779229432,0.762085047,0.048549181,0.689975627,0.779351971,0.737908955,0.064362508,0.621213649,0.803757239,0.633157898,0.210820216,0.287937140,0.927940689,0.480498462,0.023229622,0.120617183,0.185496573,0.066674706,0.203578173,0.218890835,0.222466075,0.604829409,0.809170901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kislev,3,0.158596037,0.168210316,0.027039498,0.158518880,0.208400525,0.183421111,0.042016541,0.125127187,0.253714914,0.213029440,0.107643803,0.056933846,0.386358024,0.250962313,0.245859588,0.013974337,0.225035901,0.250958704,0.230949235,0.039542759,0.180951289,0.293562279,0.271477918,0.177448673,0.000000000,0.554695573,0.590441651,0.585930096,0.013066762,0.566476568,0.590842632,0.585629655,0.026582421,0.547677579,0.632072375,0.515492642,0.169362840,0.250775057,0.759339681,0.864796398,0.009733385,0.049896273,0.076533182,0.048867089,0.096895239,0.099552436,0.190589191,0.339666593,0.493449352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lizardmen,3,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.006648801,0.011927289,0.000000000,0.030038020,0.048240281,0.095210229,0.000000000,0.282041821,0.144742365,0.200586529,0.158110434,0.144638429,0.435388249,0.263180612,0.197368384,0.098715237,0.597046547,0.240188844,0.257686680,0.000000000,0.739909844,0.855257635,0.799413471,0.158110434,0.564611751,0.855361571,0.730170587,0.192557676,0.402953453,0.877174687,0.711570875,0.244417407,0.260090156,1.000000000,0.376365464,0.055942715,0.290686134,0.447147513,0.137438030,0.452304181,0.473314597,0.228597856,0.595167479,0.855257635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norsca,3,0.000000000,0.019755058,0.055875743,0.000000000,0.102726303,0.047470185,0.076415914,0.000000000,0.182970617,0.100210228,0.089656137,0.000000000,0.256517889,0.329726837,0.302734445,0.076206669,0.189499330,0.329768672,0.262680213,0.105081019,0.080632423,0.352389134,0.262011453,0.203366886,0.000000000,0.652705242,0.670273163,0.677510497,0.020331199,0.670231328,0.707774366,0.689849603,0.033127087,0.647345004,0.742316259,0.637778319,0.182549144,0.221911615,0.848038741,0.577078032,0.027027041,0.140227507,0.215594030,0.075285890,0.249094414,0.259531944,0.200396894,0.448361547,0.528309558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nurgle,3,0.049002585,0.073360498,0.068911103,0.048900219,0.175707873,0.100359449,0.089007749,0.027290249,0.255458709,0.160703951,0.113329954,0.000000000,0.351259709,0.384884516,0.347004492,0.106994669,0.188077314,0.384894396,0.303675032,0.138705158,0.059213751,0.409476669,0.295717219,0.219085843,0.000000000,0.675918582,0.566112899,0.579635010,0.038083813,0.566070293,0.636268875,0.595965519,0.051750508,0.539478273,0.686766797,0.543578830,0.226448865,0.062897059,0.885816204,0.762211525,0.037925051,0.196843654,0.302678251,0.096145252,0.325670765,0.330621441,0.238926815,0.503215839,0.566112899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ogre_kingdoms,3,0.402879439,0.352523391,0.142441035,0.140931392,0.403020158,0.294932121,0.186377655,0.000000000,0.450252253,0.269991753,0.252455342,0.000000000,0.617928734,0.000000000,0.125000000,0.353553391,0.000000000,0.650000000,0.275000000,0.452202587,0.000000000,1.000000000,0.361601059,0.436311341,0.000000000,1.000000000,0.597120561,0.522476609,0.211112481,0.208941798,0.597337019,0.430067879,0.269910808,0.000000000,0.644142129,0.368407188,0.293507175,0.000000000,0.796861208,0.613648624,0.125111712,0.650076411,1.000000000,0.295478241,1.000000000,1.000000000,0.448596571,1.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skaven,3,0.293162646,0.356009041,0.177469179,0.292953445,0.619624203,0.442124276,0.223255427,0.267639224,0.817989945,0.541448526,0.249538166,0.147262422,0.890232662,0.706837354,0.618393771,0.249868919,0.247270418,0.707046555,0.501980944,0.314394630,0.000000000,0.732360776,0.348272978,0.289078862,0.000000000,0.794134952,0.000000000,0.025597188,0.072399781,0.000000000,0.133105378,0.055894780,0.092488425,0.000000000,0.226426611,0.110278495,0.127183473,0.000000000,0.324856189,0.550657620,0.088544182,0.459566935,0.706837354,0.215995761,0.706837354,0.706837354,0.397986074,0.706837354,0.706837354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slaanesh,3,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.009170114,0.032697745,0.000000000,0.064452350,0.056109235,0.049003177,0.019801607,0.019460594,0.056170363,0.040688515,0.038034839,0.000000000,0.111676951,0.240442491,0.362929077,0.000000000,1.000000000,0.943890765,0.950996823,0.019801607,0.943829637,0.980539406,0.959311485,0.038034839,0.888323049,1.000000000,0.750387395,0.358139382,0.000000000,1.000000000,0.196725393,0.007154019,0.036648641,0.056109235,0.034672058,0.056735666,0.070444882,0.246135127,0.943890765,0.943890765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomb_kings,3,0.200226821,0.219708984,0.054861681,0.199830072,0.301294667,0.242688715,0.083044390,0.125630804,0.376603252,0.335592133,0.219341419,0.000000000,0.734781453,0.743358838,0.730843614,0.034882353,0.678921494,0.743597101,0.721681739,0.075143894,0.602873030,0.828381003,0.533362099,0.335571867,0.000000000,1.000000000,0.056414341,0.049447402,0.019979872,0.019745019,0.056590134,0.035629546,0.029944006,0.000000000,0.081076487,0.131045768,0.186872290,0.000000000,0.558977595,0.641428652,0.019720711,0.101106665,0.155255373,0.083364385,0.176376431,0.197988842,0.314469524,0.743358838,0.743358838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tzeentch,3,0.057119618,0.060102807,0.008504741,0.057002019,0.072746473,0.068829045,0.017300703,0.043884059,0.093305698,0.110036202,0.086872706,0.000000000,0.264030033,0.231982877,0.241039166,0.025664295,0.231879760,0.279163202,0.248652566,0.035909016,0.203219025,0.305794333,0.243972063,0.215619423,0.000000000,0.670961542,0.710897505,0.698858028,0.034168962,0.648090325,0.711118221,0.682518390,0.038770245,0.609315383,0.720180194,0.645991735,0.196128235,0.325858510,0.925437349,0.678161675,0.012147630,0.062872730,0.096602889,0.039140184,0.101582121,0.111765023,0.190711993,0.439302632,0.768017123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vampire_coast,3,0.111346744,0.190222457,0.223018867,0.111077964,0.521458328,0.285000116,0.282427903,0.075483374,0.762762562,0.416125663,0.271687304,0.041630887,0.862103721,0.888653256,0.782100677,0.301300842,0.334621968,0.888922036,0.653901888,0.382492774,0.000000000,0.924516626,0.435196521,0.363248310,0.000000000,0.958369113,0.000000000,0.027676866,0.078281999,0.000000000,0.143919704,0.061097996,0.100766891,0.000000000,0.233921541,0.148677816,0.181286303,0.000000000,0.489552347,0.317966405,0.106686918,0.554046225,0.852233953,0.251938950,0.888653256,0.888653256,0.469098707,0.888653256,0.888653256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vampire_counts,3,0.000000000,0.049827594,0.140933717,0.000000000,0.259103486,0.109012963,0.179634690,0.000000000,0.416454663,0.175479138,0.200164426,0.000000000,0.516320276,1.000000000,0.875000000,0.353553391,0.350000000,1.000000000,0.725000000,0.452202587,0.000000000,1.000000000,0.558498027,0.449054148,0.000000000,1.000000000,0.000000000,0.075172406,0.212619674,0.000000000,0.390896514,0.165987037,0.273192166,0.000000000,0.615254121,0.266022835,0.335436348,0.000000000,0.811148224,-0.000000000,0.125000000,0.650000000,1.000000000,0.275000000,1.000000000,1.000000000,0.441501973,1.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warriors_of_chaos,3,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003805022,0.017459588,0.000000000,0.011684262,0.000000000,0.013137223,0.037157679,0.000000000,0.068313562,0.027588399,0.046380584,0.000000000,0.113701036,0.120676459,0.179966524,0.000000000,0.476833220,1.000000000,0.986862777,0.037157679,0.931686438,1.000000000,0.972411601,0.046380584,0.886298964,1.000000000,0.875518519,0.178187784,0.523166780,1.000000000,-0.000000000,0.013137223,0.068313562,0.105097787,0.027588399,0.113701036,0.135470909,0.124481481,0.476833220,0.678590799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood_elves,3,0.231108349,0.249182379,0.050898697,0.231115732,0.324778165,0.277720149,0.068013088,0.206266031,0.390172712,0.253803761,0.157043466,0.013374845,0.517976954,0.253066647,0.221245476,0.089397139,0.088314696,0.253099137,0.177492640,0.118946162,0.000000000,0.314870006,0.308136387,0.331119837,0.000000000,0.887280258,0.515825004,0.529572146,0.038498972,0.515759158,0.586907138,0.544787211,0.057363734,0.465595642,0.629080016,0.438059852,0.253787754,0.000000000,0.734116903,0.935500797,0.031849707,0.164751951,0.253066647,0.102482221,0.253066647,0.253066647,0.296943748,0.634213611,0.736795469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beastmen,4,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.026746716,0.065304103,0.000000000,0.123571385,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.005084274,0.011225640,0.000000000,0.027053557,0.144820480,0.262285575,0.000000000,0.941479855,0.324963595,0.324948013,0.000141721,0.324733671,0.325075471,0.326909371,0.032518945,0.283911770,0.384571673,0.380860092,0.312677737,0.000000000,0.975715007,0.454848866,0.000075021,0.000273969,0.000343600,0.031861537,0.065284693,0.074927541,0.366129931,0.941479855,1.000000000,0.675036405,0.675051987,0.000141721,0.674924529,0.675266329,0.668006355,0.034815145,0.609751712,0.712669990,0.447572711,0.314731806,0.000000000,0.920177422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bretonnia,4,0.875652348,0.875656334,0.000036325,0.875623641,0.875711266,0.877943517,0.022030974,0.849413293,0.916833970,0.743987855,0.330807610,0.039853713,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.083701210,0.229341797,0.000000000,0.758001513,0.124347652,0.124343666,0.000036325,0.124288734,0.124376359,0.118975895,0.024153111,0.080859915,0.150586707,0.162776303,0.262102599,0.000000000,0.960146287,0.270865130,0.000019231,0.000070222,0.000088049,0.019948078,0.043487737,0.064500371,0.239341226,0.859519396,0.877971582,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003080587,0.008065228,0.000000000,0.018461095,0.009534632,0.023725167,0.000000000,0.053394174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaos_dwarfs,4,0.005880214,0.005918740,0.000100246,0.005837881,0.006086407,0.011050368,0.012884327,0.000000000,0.037989159,0.154168486,0.184379106,0.000000000,0.507035787,0.994119786,0.994081260,0.000100246,0.993913593,0.994162119,0.988949632,0.012884327,0.962010841,1.000000000,0.770344911,0.277092040,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.011268598,0.055892671,0.000000000,0.019956682,0.026015127,0.000058544,0.000206193,0.000235367,0.009481285,0.032108945,0.041448147,0.226861987,0.994119786,0.994119786,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.064218005,0.116386519,0.000000000,0.313224434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daemons_of_chaos,4,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.069769124,0.241516658,0.000000000,0.697371877,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.030174096,0.154652658,0.000000000,0.012824077,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.099943220,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,0.900056780,0.283448347,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark_elves,4,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.007265545,0.010718580,0.000000000,0.030098204,0.140559902,0.155083244,0.000000000,0.509696920,0.774443125,0.774380036,0.000165931,0.774103293,0.774516404,0.771329352,0.027020100,0.736438194,0.823251157,0.578908912,0.214205276,0.168019768,0.915946281,0.225556875,0.225619964,0.000165931,0.225483596,0.225896707,0.221405103,0.025021662,0.176748843,0.255729703,0.167267339,0.133102136,0.000000000,0.372682311,0.385092582,0.000097201,0.000339832,0.000386711,0.025022696,0.048808032,0.066355885,0.304751459,0.699919792,0.982675214,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.113263847,0.094728440,0.000000000,0.263028487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
