race,movement,deployment,shock,contact_authority,block_geometry,melee_pressure,missile_pressure,bombardment,target_solutions,burst,sustain,block_damage,material_durability,avoidance,morale,restoration,block_survival,role_coverage,elite_orientation,battlefield_control,command_magic,block_architecture
kislev,77.21836175126177,50.254713652705824,71.14702259232816,53.70597353308515,63.08151788234522,79.79569608509566,61.276042786990175,0.0,54.58954438045111,37.40696584727704,52.83768515955393,47.65098904322798,33.664185911387136,43.76031318988201,63.69116982836724,0.0,35.2789172324091,71.76555990207451,54.11167661780484,57.21952216367981,77.5,65.1491896708898
lizardmen,75.13065660086332,49.32050717778351,53.48488879102188,94.32464587262,68.06517461057217,85.12331469605674,78.49440088184906,61.82810331935087,95.30230936892875,81.34436018400783,100.0,83.68208140836553,66.02743196320739,78.39227622288949,54.50371000684436,0.0,49.730854548235314,74.39795841458084,47.52614409076909,98.64725586189124,100.0,80.14283959181029
norsca,75.44927415944679,19.278078712296924,68.9559858396328,79.55636097796837,60.80992492233622,84.58407736397612,42.68383145184881,30.673063212157604,46.59657775116629,37.06801622968397,44.25148701449111,47.64284217055398,50.269818472441635,69.6653065021589,80.02212945997496,61.78452364356834,65.43544451953596,69.964325300467,38.418523538833995,79.80270180733979,71.25,64.85888766166019
nurgle,71.1879246913585,21.985541936222916,57.77736522750746,43.577971134226935,48.63220074732896,75.82132407208411,38.48899093954937,18.861802916583454,18.86630920768136,37.51474290520323,32.20370756644438,36.95947960125765,66.58534453115246,28.932830328612816,70.1468901521314,48.366672549258055,53.50793439028868,71.02693875604426,79.55162577949177,100.0,52.5,75.76964113388401
ogre_kingdoms,36.386693118579984,19.740094983046443,74.58604536302994,100.0,57.67820836616409,93.025556483246,70.16886804485853,53.12321327267065,37.21768053681512,100.0,48.37766072434207,66.98549651032206,33.87273279878214,19.534446984930735,73.14280717453897,0.0,31.637496739562962,67.7434075729177,100.0,44.876453811228885,71.25,70.96746534603665
skaven,57.08048511281336,38.99396475319398,44.48181963373801,45.663727956688156,46.554999364108376,33.56949920507912,75.78028560147335,71.13934086519978,59.087620087863534,23.132821529541292,34.52665524877215,49.539370422988206,1.3705430564433547,10.380295828394818,39.9907008981252,30.600906710009994,20.58561162324334,82.60596182874934,16.70233770310438,49.05952074207677,53.75,50.52945506848262
slaanesh,93.35296358343746,72.42766446198274,97.37955993589662,56.50551898717844,79.91642674212382,72.87013062283869,27.69274317845268,0.0,61.52991391942323,36.39881121327269,0.0,33.08193315566455,56.68146222173225,81.04877800350958,90.16670892605025,0.0,56.974237287823016,62.25994556396014,82.8344554480023,82.24684359701106,47.5,68.71031115224338
tomb_kings,40.096677410766134,21.985541936222916,48.870383333720596,81.23075466703249,48.04583933693553,44.29935835568182,74.6786075025227,77.03019764188653,53.72276091613707,39.88109193096521,39.13756686708405,54.79159720237956,29.133197158128663,8.001717125176132,10.823673378540205,0.0,11.98964691546125,91.58586436119577,70.07545695659266,77.81499613501673,63.74999999999999,75.8065793632013
tzeentch,67.37816857444545,39.715059176770616,54.843324109179285,67.59976308197247,57.384078735591956,73.9706469618989,81.1973916939834,27.617480091131124,80.35993265612107,61.26686754155436,83.47540146421801,67.9812867348178,56.87763135099376,49.1681751066886,71.77057783996051,100.0,69.45409607441071,72.38673686253425,89.66708678414801,53.84046346551852,53.75,67.4110717780502
vampire_coast,39.6342410434903,35.86441495487131,16.109020423580365,79.07197162712771,42.66991201226742,76.16186185844418,84.52715015733568,81.08245124254563,20.7812032486973,0.0,37.53350313543048,50.01436160707555,15.51226286689303,35.00250217280142,45.284733202788395,48.496661752972685,36.07403999886388,69.4817739627644,43.84420237749498,76.33084256634886,58.75,62.10170472665206
vampire_counts,69.18647006922222,48.69362530824373,48.190267831168335,55.90619984624142,55.49414076371893,45.607837826088314,0.0,0.0,32.17238134564513,24.04200747732924,18.805666668354107,20.10464888623613,15.647537213518946,47.67811907336898,0.0,89.22293439477033,38.13714767041456,36.23211480745854,50.87346245326318,80.22674568410203,63.74999999999999,57.770580736205936
warriors_of_chaos,90.0881587829192,39.16338023603667,86.09422379715522,78.63997089817818,73.49643342857232,87.59565355759193,53.65161352275501,55.60538881781965,56.85593922878466,53.88167509944023,37.40690316127103,57.49952889794375,94.32591515844175,70.94611067818835,100.0,63.42052611782139,82.17313798861287,95.8670852156426,56.359065657488216,81.84119764838816,88.75,80.70433713037974
wood_elves,80.7400247191592,100.0,56.7628498846293,48.92936430257753,71.6080597265915,38.17777825864706,60.82262512201601,0.0,31.72673625759276,37.755213135645334,11.60740876217549,30.014960256012774,39.40551588258639,81.63743202547867,74.39396427280258,0.0,48.85922804521691,70.2679830696797,51.52710069058977,37.11176738746952,81.25,60.03921278693475
