race,movement__breadth,movement__ceiling,movement__cost_access,deployment__breadth,deployment__ceiling,deployment__cost_access,shock__breadth,shock__ceiling,shock__cost_access,contact_authority__breadth,contact_authority__ceiling,contact_authority__cost_access,melee_pressure__breadth,melee_pressure__ceiling,melee_pressure__cost_access,missile_pressure__breadth,missile_pressure__ceiling,missile_pressure__cost_access,bombardment__breadth,bombardment__ceiling,bombardment__cost_access,target_solutions__breadth,target_solutions__ceiling,target_solutions__cost_access,burst__breadth,burst__ceiling,burst__cost_access,sustain__breadth,sustain__ceiling,sustain__cost_access,material_durability__breadth,material_durability__ceiling,material_durability__cost_access,avoidance__breadth,avoidance__ceiling,avoidance__cost_access,morale__breadth,morale__ceiling,morale__cost_access,restoration__breadth,restoration__ceiling,restoration__cost_access,role_coverage__breadth,role_coverage__ceiling,role_coverage__cost_access,elite_orientation__breadth,elite_orientation__ceiling,elite_orientation__cost_access,battlefield_control__breadth,battlefield_control__ceiling,battlefield_control__cost_access,command_magic__breadth,command_magic__ceiling,command_magic__cost_access
nurgle,0.580921053,0.791838488,0.861726804,0.187500000,0.500000000,0.575000000,0.567830882,0.678027227,0.627991741,0.508333333,0.636217083,0.436838714,0.652500000,0.826755371,0.606713066,0.037500000,0.518283108,0.356167086,0.055113636,0.224604915,0.056151229,0.555505952,0.447437064,0.373085768,0.504375000,0.517432603,0.406018882,0.517708333,0.488055781,0.335904978,0.627777778,0.678433449,0.600475853,0.495000000,0.399774066,0.396333177,0.521875000,0.527298525,0.467229724,0.157932692,0.350000000,0.233333333,0.833333333,0.824595498,0.583333333,0.312500000,0.733333333,0.670154908,0.736875000,0.400000000,0.290000000,0.250000000,0.600000000,1.000000000
ogre_kingdoms,0.466969147,0.654080756,0.668911082,0.147413793,0.566666667,0.550000000,0.674442191,0.740163729,0.634450082,0.696551724,0.722939199,0.542338917,0.709885057,0.865558309,0.658199105,0.238945233,0.732174781,0.520867254,0.114106583,0.465163972,0.407805792,0.536781609,0.616389130,0.382455545,0.727586207,0.690082061,0.556800953,0.498686371,0.622201927,0.397853727,0.504214559,0.639606680,0.461907105,0.472413793,0.406756378,0.341974594,0.533793103,0.530536265,0.481502058,0.000000000,0.000000000,0.000000000,0.833333333,0.812545024,0.541666667,0.379310345,0.733333333,0.853797259,0.390344828,0.340000000,0.151666667,0.625000000,0.600000000,1.000000000
skaven,0.471929825,0.811726804,0.833429983,0.233333333,0.650000000,0.625000000,0.435784314,0.721117126,0.626079388,0.469444444,0.675573137,0.496282096,0.448333333,0.789291041,0.548906694,0.197058824,0.731959147,0.743278705,0.103030303,0.678053348,0.590522518,0.516666667,0.632421608,0.574536180,0.421666667,0.505655232,0.406019460,0.489285714,0.450600137,0.452905575,0.361111111,0.502646154,0.463283286,0.426666667,0.382762848,0.367318719,0.446666667,0.364428584,0.364334491,0.094871795,0.233333333,0.145833333,1.000000000,0.764023273,0.500000000,0.055555556,0.200000000,0.742250400,0.350000000,0.333333333,0.306666667,0.375000000,0.400000000,1.000000000
slaanesh,0.691973684,0.912328179,0.874828179,0.507500000,0.650000000,0.650000000,0.683235294,0.956117452,0.783070459,0.493611111,0.733061883,0.499730868,0.621666667,0.879903857,0.580055655,0.015000000,0.290278799,0.362848499,0.000000000,0.000000000,0.000000000,0.560833333,0.626803599,0.510568971,0.492500000,0.518644391,0.414808179,0.462738095,0.383299040,0.235909358,0.560555556,0.701265181,0.583562739,0.675000000,0.501800777,0.447507754,0.617500000,0.556490912,0.523078382,0.000000000,0.000000000,0.000000000,0.833333333,0.764504640,0.500000000,0.425000000,0.533333333,0.696089056,0.592500000,0.400000000,0.291666667,0.250000000,0.400000000,1.000000000
tomb_kings,0.459210526,0.694201031,0.703844502,0.137500000,0.575000000,0.600000000,0.481617647,0.714155930,0.614953392,0.605555556,0.778842230,0.479259163,0.455000000,0.892130644,0.560624100,0.256617647,0.759125004,0.569818898,0.135227273,0.773903809,0.552388782,0.570833333,0.639664116,0.417777331,0.480000000,0.562967902,0.438388350,0.507738095,0.547409502,0.364249021,0.454166667,0.601088411,0.539014700,0.442500000,0.333136656,0.361855670,0.300000000,0.323703704,0.295862161,0.000000000,0.000000000,0.000000000,1.000000000,0.910930567,0.500000000,0.250000000,0.533333333,0.848129129,0.577500000,0.340000000,0.310000000,0.375000000,0.800000000,1.000000000
tzeentch,0.584550085,0.880111684,0.705057990,0.289516129,0.650000000,0.525000000,0.557305503,0.702478424,0.575398623,0.571684588,0.738818563,0.449642478,0.602795699,0.893217146,0.617601474,0.272485769,0.832028565,0.625985101,0.038709677,0.307613958,0.187445190,0.645314900,0.619065477,0.493891425,0.595483871,0.640170192,0.393703250,0.568817204,0.727992665,0.494774491,0.591039427,0.645046136,0.581359792,0.546451613,0.507353083,0.385114412,0.536129032,0.525869770,0.462558728,0.461786600,0.483333333,0.452222222,0.833333333,0.888507869,0.541666667,0.387096774,0.666666667,0.744572626,0.390322581,0.360000000,0.276666667,0.375000000,0.400000000,1.000000000
vampire_coast,0.378105263,0.716945876,0.835889175,0.194000000,0.650000000,0.650000000,0.335529412,0.574748794,0.497253892,0.575555556,0.779094071,0.517249657,0.541333333,0.872875080,0.786985597,0.274117647,0.805995544,0.730893172,0.096363636,0.730617978,0.757400429,0.498285714,0.507698589,0.441964284,0.344000000,0.425894213,0.356104280,0.510285714,0.535313098,0.355575365,0.426666667,0.574368026,0.443971894,0.464000000,0.459396103,0.458481010,0.332000000,0.414196245,0.616962449,0.188307692,0.350000000,0.175000000,0.833333333,0.840983941,0.541666667,0.120000000,0.466666667,0.767809523,0.528000000,0.400000000,0.325000000,0.375000000,0.600000000,1.000000000
vampire_counts,0.546315789,0.854768041,0.835889175,0.304000000,0.650000000,0.650000000,0.478117647,0.732052527,0.592653852,0.507111111,0.679366487,0.520385923,0.517333333,0.818656719,0.525027266,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.503238095,0.591763606,0.435438173,0.464000000,0.484525867,0.353683847,0.510285714,0.419483025,0.288398062,0.414666667,0.546616725,0.497478693,0.528000000,0.457488452,0.457209243,0.300000000,0.240317644,0.229872042,0.479384615,0.350000000,0.350000000,0.666666667,0.713700663,0.458333333,0.240000000,0.266666667,0.836870732,0.552000000,0.400000000,0.340000000,0.375000000,0.800000000,1.000000000
warriors_of_chaos,0.630661516,0.912328179,0.945060137,0.318119266,0.583333333,0.525000000,0.648138154,0.861081258,0.759088887,0.610295617,0.739594660,0.482914952,0.647339450,0.921182620,0.662946414,0.082838640,0.658008873,0.499797098,0.050125104,0.691605006,0.360780351,0.581083443,0.564496271,0.496496606,0.599082569,0.507902058,0.427784212,0.523940585,0.498310476,0.364031117,0.690112130,0.798621591,0.715617205,0.611559633,0.518768745,0.457936540,0.662385321,0.588366770,0.537139918,0.205645730,0.436666667,0.331111111,1.000000000,0.814302810,0.666666667,0.284403670,0.466666667,0.633174275,0.484220183,0.520000000,0.381666667,0.875000000,0.800000000,1.000000000
wood_elves,0.583805668,0.940592784,0.860491838,0.723076923,0.716666667,0.625000000,0.557013575,0.700837515,0.609806515,0.502564103,0.644038911,0.494490282,0.452820513,0.764943416,0.619206533,0.185520362,0.588497926,0.540839817,0.000000000,0.000000000,0.000000000,0.506593407,0.540231771,0.476838418,0.532307692,0.472273062,0.398275768,0.476007326,0.377618869,0.328478019,0.468803419,0.684048841,0.560087909,0.707692308,0.471490858,0.418229710,0.535384615,0.534081361,0.492041002,0.000000000,0.000000000,0.000000000,0.833333333,0.812179313,0.583333333,0.153846154,0.466666667,0.819319830,0.299230769,0.340000000,0.208333333,0.625000000,1.000000000,1.000000000
