faction_a_key,faction_b_key,start_region_a,start_region_b,province_a,province_b,centroid_distance,raster_hops,same_province,neighboring_province,shared_theater_keys,theater,proximity_class,geographic_envelope,geographic_reason,geometry_status_a,geometry_status_b,route_networks_a,route_networks_b,strategic_note,island_or_disconnected,faction_a_name,race_a,subculture_a,faction_b_name,race_b,subculture_b,diplomatic_class,treaty_eligibility_unresolved,diplomacy_evidence_status,evidence_ids,analytical_inference,diplomatic_caveat,single_player_objective_pressure,evidence_note,included,exclusion_reason
wh2_dlc09_tmb_followers_of_nagash,wh_main_vmp_vampire_counts,wh3_main_combi_region_wizard_caliphs_palace,wh3_main_combi_region_ka_sabar,wh3_main_combi_province_land_of_assassins,wh3_main_combi_province_shifting_sands,145.037143,5,False,False,cai_region_hint_area_southlands,southlands,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,convoy_road_combi,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Followers of Nagash,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,The Drakenhof Conclave,vampire_counts,wh_main_sc_vmp_vampire_counts,Clean,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,arkhan_vampires;tomb_kings_0;tomb_kings_1;vampire_counts_0,Opposed Tomb King ecosystem prior Positive cross-race bridge supports a shared undead ecosystem.,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Arkhan starts with +40 Vampiric Undead relations. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them. Barrow Legion has +30 WoC/Beastmen/Norsca relations and faction Chaos-attrition immunity.,True,
wh2_dlc09_tmb_khemri,wh2_dlc09_tmb_lybaras,wh3_main_combi_region_khemri,wh3_main_combi_region_lybaras,wh3_main_combi_province_land_of_the_dead,wh3_main_combi_province_crater_of_the_waking_dead,137.160847,5,False,False,cai_region_hint_area_southlands,southlands,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,convoy_road_combi,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Khemri,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Court of Lybaras,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,khalida_lahmia;settra_vassal;tomb_kings_0;tomb_kings_1,"Same-race ecosystem prior Pairings must use independent teammates, not a proposed Settra-vassal workaround. Do not generalize this scripted lock to every playable vampire. Shared seat/Book/forest progression requires coordination","Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Khalida has permanent no-peace with the nonplayable Lahmian Sisterhood. All vassal actions against Khemri are disabled. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc09_tmb_khemri,wh2_dlc17_dwf_thorek_ironbrow,wh3_main_combi_region_khemri,wh3_main_combi_region_karak_zorn,wh3_main_combi_province_land_of_the_dead,wh3_main_combi_province_southlands_worlds_edge_mountains,81.027618,3,False,True,cai_region_hint_area_southlands,southlands,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,convoy_road_combi,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Khemri,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Ironbrow's Expedition,dwarfs,wh_main_sc_dwf_dwarfs,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,dwarfs_0;dwarfs_1;settra_vassal;tomb_kings_0;tomb_kings_1,"Independent Tomb King coexistence prior Pairings must use independent teammates, not a proposed Settra-vassal workaround.","Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Grudge accumulation responds to hostile conduct; positive diplomacy reduces it. Different allied Dwarf owners can enable conditional Deeps trade/diplomacy benefits. All vassal actions against Khemri are disabled. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc09_tmb_khemri,wh2_main_lzd_last_defenders,wh3_main_combi_region_khemri,wh3_main_combi_region_the_golden_tower,wh3_main_combi_province_land_of_the_dead,wh3_main_combi_province_the_golden_pass,95.466061,4,False,False,cai_region_hint_area_southlands,southlands,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,convoy_road_combi,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Khemri,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Last Defenders,lizardmen,wh2_main_sc_lzd_lizardmen,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,lizardmen_0;settra_vassal;tomb_kings_0;tomb_kings_1,"Independent Tomb King coexistence prior Pairings must use independent teammates, not a proposed Settra-vassal workaround.","Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Allied province capitals support the Geomantic Web; Nakai and Oxyotl use documented variants. All vassal actions against Khemri are disabled. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc09_tmb_khemri,wh2_main_lzd_tlaqua,wh3_main_combi_region_khemri,wh3_main_combi_region_tlaqua,wh3_main_combi_province_land_of_the_dead,wh3_main_combi_province_western_jungles,81.866933,4,False,False,cai_region_hint_area_southlands,southlands,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,convoy_road_combi,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Khemri,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Tlaqua,lizardmen,wh2_main_sc_lzd_lizardmen,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,lizardmen_0;settra_vassal;tomb_kings_0;tomb_kings_1,"Independent Tomb King coexistence prior Pairings must use independent teammates, not a proposed Settra-vassal workaround.","Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Allied province capitals support the Geomantic Web; Nakai and Oxyotl use documented variants. All vassal actions against Khemri are disabled. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc09_tmb_khemri,wh3_main_emp_cult_of_sigmar,wh3_main_combi_region_khemri,wh3_main_combi_region_sudenburg,wh3_main_combi_province_land_of_the_dead,wh3_main_combi_province_land_of_the_dervishes,47.295665,2,False,False,cai_region_hint_area_southlands,southlands,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,convoy_road_combi,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Khemri,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Cult of Sigmar,empire,wh_main_sc_emp_empire,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,empire_0;settra_vassal;tomb_kings_0;tomb_kings_1,"Independent Tomb King coexistence prior Pairings must use independent teammates, not a proposed Settra-vassal workaround. Partner appears in single-player faction objective(s); not treated as a multiplayer forced-war lock","Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",wh2_dlc09_tmb_khemri:short:001:DESTROY_FACTION,Reikland Elector politics replaces ordinary confederation/NAP paths; does not establish a general military-alliance ban. All vassal actions against Khemri are disabled. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc09_tmb_lybaras,wh2_dlc17_dwf_thorek_ironbrow,wh3_main_combi_region_lybaras,wh3_main_combi_region_karak_zorn,wh3_main_combi_province_crater_of_the_waking_dead,wh3_main_combi_province_southlands_worlds_edge_mountains,114.529167,4,False,False,cai_region_hint_area_southlands,southlands,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Court of Lybaras,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Ironbrow's Expedition,dwarfs,wh_main_sc_dwf_dwarfs,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,dwarfs_0;dwarfs_1;khalida_lahmia;tomb_kings_0;tomb_kings_1,Independent Tomb King coexistence prior Do not generalize this scripted lock to every playable vampire.,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Grudge accumulation responds to hostile conduct; positive diplomacy reduces it. Different allied Dwarf owners can enable conditional Deeps trade/diplomacy benefits. Khalida has permanent no-peace with the nonplayable Lahmian Sisterhood. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc09_tmb_lybaras,wh2_main_lzd_last_defenders,wh3_main_combi_region_lybaras,wh3_main_combi_region_the_golden_tower,wh3_main_combi_province_crater_of_the_waking_dead,wh3_main_combi_province_the_golden_pass,133.569351,5,False,False,cai_region_hint_area_southlands,southlands,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Court of Lybaras,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Last Defenders,lizardmen,wh2_main_sc_lzd_lizardmen,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,khalida_lahmia;lizardmen_0;tomb_kings_0;tomb_kings_1,Independent Tomb King coexistence prior Do not generalize this scripted lock to every playable vampire.,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Khalida has permanent no-peace with the nonplayable Lahmian Sisterhood. Allied province capitals support the Geomantic Web; Nakai and Oxyotl use documented variants. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc11_cst_pirates_of_sartosa,wh2_main_skv_clan_skryre,wh3_main_combi_region_sartosa,wh3_main_combi_region_skavenblight,wh3_main_combi_province_pirates_current,wh3_main_combi_province_the_blighted_marshes,66.473748,,False,False,cai_region_hint_area_border_princes,border_princes,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,True,Pirates of Sartosa,vampire_coast,wh2_dlc11_sc_cst_vampire_coast,Clan Skryre,skaven,wh2_main_sc_skv_skaven,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,skaven_0;vampire_coast_0,Non-Order pragmatic-alliance prior; not a numeric diplomatic guarantee,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage. Coast cannot confederate; alliances can transfer Shanty verses.,True,
wh2_dlc11_cst_the_drowned,wh2_main_def_cult_of_pleasure,wh3_main_combi_region_the_twisted_glade,wh3_main_combi_region_ancient_city_of_quintex,wh3_main_combi_province_the_clawed_coast,wh3_main_combi_province_titan_peaks,120.115652,5,False,False,cai_region_hint_area_naggarond,naggarond,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,The Drowned,vampire_coast,wh2_dlc11_sc_cst_vampire_coast,Cult of Pleasure,dark_elves,wh2_main_sc_def_dark_elves,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,dark_elves_0;dark_elves_1;vampire_coast_0,Non-Order pragmatic-alliance prior; not a numeric diplomatic guarantee,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Har Ganeth Blood Voyage is a forced vassal targeting occupied Ulthuan settlements; not a general alliance ban. Hag Graef gains conditional +25/+50 daemon relations at high possession; not a permanent faction-wide alliance guarantee. Coast cannot confederate; alliances can transfer Shanty verses.,True,
wh2_dlc11_cst_the_drowned,wh2_main_def_hag_graef,wh3_main_combi_region_the_twisted_glade,wh3_main_combi_region_hag_graef,wh3_main_combi_province_the_clawed_coast,wh3_main_combi_province_the_black_flood,78.730132,3,False,False,cai_region_hint_area_naggarond,naggarond,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,The Drowned,vampire_coast,wh2_dlc11_sc_cst_vampire_coast,Hag Graef,dark_elves,wh2_main_sc_def_dark_elves,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,dark_elves_0;dark_elves_1;vampire_coast_0,Non-Order pragmatic-alliance prior; not a numeric diplomatic guarantee,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Har Ganeth Blood Voyage is a forced vassal targeting occupied Ulthuan settlements; not a general alliance ban. Hag Graef gains conditional +25/+50 daemon relations at high possession; not a permanent faction-wide alliance guarantee. Coast cannot confederate; alliances can transfer Shanty verses.,True,
wh2_dlc11_cst_the_drowned,wh2_main_def_naggarond,wh3_main_combi_region_the_twisted_glade,wh3_main_combi_region_naggarond,wh3_main_combi_province_the_clawed_coast,wh3_main_combi_province_iron_foothills,106.452872,4,False,False,cai_region_hint_area_naggarond,naggarond,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,convoy_road_combi,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,The Drowned,vampire_coast,wh2_dlc11_sc_cst_vampire_coast,Naggarond,dark_elves,wh2_main_sc_def_dark_elves,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,dark_elves_0;dark_elves_1;vampire_coast_0,Non-Order pragmatic-alliance prior; not a numeric diplomatic guarantee,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Har Ganeth Blood Voyage is a forced vassal targeting occupied Ulthuan settlements; not a general alliance ban. Hag Graef gains conditional +25/+50 daemon relations at high possession; not a permanent faction-wide alliance guarantee. Coast cannot confederate; alliances can transfer Shanty verses.,True,
