faction_a_key,faction_b_key,faction_a_name,faction_b_name,proximity_class,diplomatic_class,centroid_distance
wh3_dlc20_chs_festus,wh_main_vmp_schwartzhafen,The Fecundites,Sylvania,Extended,Workable,122.443018
wh3_dlc23_chd_astragoth,wh3_dlc26_kho_arbaal,Disciples of Hashut,Challengers of Khorne,Regional,Workable,78.784524
wh3_dlc23_chd_astragoth,wh_main_grn_greenskins,Disciples of Hashut,Grimgor's 'Ardboyz,Regional,Workable,72.314548
wh3_dlc23_chd_zhatan,wh3_dlc27_nor_sayl,The Warhost of Zharr,Dolgan,Extended,Workable,136.446533
wh3_dlc24_cth_the_celestial_court,wh3_main_cth_the_northern_provinces,The Jade Court,The Northern Provinces,Extended,Clean,130.735764
wh3_dlc24_cth_the_celestial_court,wh3_main_cth_the_western_provinces,The Jade Court,The Western Provinces,Regional,Clean,28.432658
wh3_dlc24_cth_the_celestial_court,wh3_main_ogr_goldtooth,The Jade Court,Goldtooth,Regional,Workable,92.557869
wh3_dlc24_ksl_daughters_of_the_forest,wh3_main_dwf_the_ancestral_throng,Daughters of the Forest,The Ancestral Throng,Extended,Clean,130.093613
wh3_dlc25_dwf_malakai,wh3_main_ksl_the_great_orthodoxy,Masters of Innovation,The Great Orthodoxy,Regional,Clean,70.80303
wh3_dlc25_dwf_malakai,wh3_main_ksl_the_ice_court,Masters of Innovation,The Ice Court,Regional,Clean,77.349528
wh3_dlc25_nur_tamurkhan,wh3_dlc26_kho_arbaal,The Maggot Host,Challengers of Khorne,Extended,Workable,119.00447
wh3_dlc26_grn_gorbad_ironclaw,wh_main_grn_crooked_moon,Ironclaw Orcs,Crooked Moon,Regional,Clean,74.3572
wh3_main_cth_the_northern_provinces,wh3_main_cth_the_western_provinces,The Northern Provinces,The Western Provinces,Extended,Clean,135.218362
wh3_main_cth_the_western_provinces,wh3_main_ogr_goldtooth,The Western Provinces,Goldtooth,Regional,Workable,68.528768
wh3_main_kho_exiles_of_khorne,wh_main_vmp_vampire_counts,Exiles of Khorne,The Drakenhof Conclave,Regional,Workable,94.205177
wh3_main_ksl_the_great_orthodoxy,wh3_main_ksl_the_ice_court,The Great Orthodoxy,The Ice Court,Regional,Clean,55.987191
wh3_main_ksl_the_ice_court,wh_main_dwf_karak_kadrin,The Ice Court,Karak Kadrin,Regional,Clean,77.418865
wh3_main_ogr_disciples_of_the_maw,wh_dlc05_wef_argwylon,Disciples of the Maw,Argwylon,Regional,Workable,70.761121
wh3_main_ogr_disciples_of_the_maw,wh_dlc05_wef_wood_elves,Disciples of the Maw,Talsyn,Regional,Workable,62.715529
wh3_main_ogr_disciples_of_the_maw,wh_main_brt_carcassonne,Disciples of the Maw,Carcassonne,Regional,Workable,97.168359
wh3_main_ogr_disciples_of_the_maw,wh_main_dwf_dwarfs,Disciples of the Maw,Karaz-a-Karak,Regional,Workable,91.514148
wh3_main_ogr_disciples_of_the_maw,wh_main_dwf_karak_izor,Disciples of the Maw,Clan Angrund,Regional,Workable,71.798081
wh3_main_ogr_disciples_of_the_maw,wh_main_emp_wissenland,Disciples of the Maw,Wissenland & Nuln,Regional,Workable,73.857031
wh3_main_ogr_goldtooth,wh3_main_vmp_caravan_of_blue_roses,Goldtooth,Caravan of Blue Roses,Regional,Workable,82.115279
wh3_main_ogr_goldtooth,wh_main_grn_greenskins,Goldtooth,Grimgor's 'Ardboyz,Extended,Workable,134.412337
wh_dlc05_wef_argwylon,wh_dlc05_wef_wood_elves,Argwylon,Talsyn,Regional,Workable,35.675465
wh_dlc05_wef_argwylon,wh_main_brt_carcassonne,Argwylon,Carcassonne,Regional,Workable,55.120954
wh_dlc05_wef_argwylon,wh_main_dwf_karak_izor,Argwylon,Clan Angrund,Regional,Workable,90.990631
wh_dlc05_wef_argwylon,wh_main_emp_empire,Argwylon,Reikland,Regional,Workable,54.69392
wh_dlc05_wef_argwylon,wh_main_emp_wissenland,Argwylon,Wissenland & Nuln,Regional,Workable,39.717996
wh_dlc05_wef_wood_elves,wh_main_brt_carcassonne,Talsyn,Carcassonne,Immediate,Workable,34.816073
wh_dlc05_wef_wood_elves,wh_main_dwf_karak_izor,Talsyn,Clan Angrund,Regional,Workable,56.473362
wh_dlc05_wef_wood_elves,wh_main_emp_wissenland,Talsyn,Wissenland & Nuln,Regional,Workable,71.017764
wh_dlc08_nor_norsca,wh_dlc08_nor_wintertooth,World Walkers,Wintertooth,Extended,Clean,143.56422
wh_main_brt_bretonnia,wh_main_brt_carcassonne,Couronne,Carcassonne,Extended,Clean,141.184898
wh_main_brt_bretonnia,wh_main_emp_empire,Couronne,Reikland,Regional,Clean,84.077461
wh_main_brt_carcassonne,wh_main_dwf_karak_izor,Carcassonne,Clan Angrund,Regional,Clean,69.273763
wh_main_dwf_dwarfs,wh_main_dwf_karak_kadrin,Karaz-a-Karak,Karak Kadrin,Regional,Clean,71.042959
wh_main_emp_empire,wh_main_emp_wissenland,Reikland,Wissenland & Nuln,Regional,Clean,31.216733
wh_main_grn_crooked_moon,wh_main_vmp_schwartzhafen,Crooked Moon,Sylvania,Regional,Workable,69.627662
wh_main_grn_orcs_of_the_bloody_hand,wh_main_vmp_vampire_counts,The Bloody Handz,The Drakenhof Conclave,Regional,Workable,59.984115
