faction_a_key,faction_b_key,faction_a_name,faction_b_name,previous_included,current_included,change,previous_proximity,current_proximity,previous_diplomacy,current_diplomacy,geographic_distance,reason
wh2_dlc09_tmb_exiles_of_nehek,wh3_main_dwf_the_ancestral_throng,Exiles of Nehek,The Ancestral Throng,True,True,retained,Regional,Extended,Workable,Workable,102.671621,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc09_tmb_followers_of_nagash,wh_main_vmp_vampire_counts,Followers of Nagash,The Drakenhof Conclave,True,True,retained,Extended,Extended,Clean,Clean,123.788849,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc09_tmb_khemri,wh2_dlc09_tmb_lybaras,Khemri,Court of Lybaras,True,True,retained,Extended,Extended,Workable,Workable,118.699592,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc09_tmb_khemri,wh2_dlc17_dwf_thorek_ironbrow,Khemri,Ironbrow's Expedition,True,True,retained,Regional,Regional,Workable,Workable,65.166665,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc09_tmb_khemri,wh2_main_hef_yvresse,Khemri,Yvresse,False,True,added,,Regional,,Workable,95.986253,"Within 100 units with neighboring provinces or at most four raster borders; topology/theaters use descriptive coastal anchors, not a verified sea route"
wh2_dlc09_tmb_khemri,wh2_main_lzd_last_defenders,Khemri,Last Defenders,True,True,retained,Regional,Extended,Workable,Workable,103.425157,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc09_tmb_khemri,wh2_main_lzd_tlaqua,Khemri,Tlaqua,True,True,retained,Regional,Extended,Workable,Workable,96.459314,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc09_tmb_khemri,wh3_main_emp_cult_of_sigmar,Khemri,Cult of Sigmar,True,True,retained,Regional,Regional,Workable,Workable,57.35759,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc09_tmb_lybaras,wh2_dlc17_dwf_thorek_ironbrow,Court of Lybaras,Ironbrow's Expedition,True,True,retained,Extended,Regional,Workable,Workable,97.055839,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc09_tmb_lybaras,wh2_main_lzd_last_defenders,Court of Lybaras,Last Defenders,True,True,retained,Extended,Extended,Workable,Workable,105.552083,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc11_cst_noctilus,wh3_main_sla_seducers_of_slaanesh,The Dreadfleet,Seducers of Slaanesh,False,True,added,,Extended,,Workable,109.20932,"Shared atlas theater and either at most six raster borders or at most 75 world units; topology/theaters use descriptive coastal anchors, not a verified sea route"
wh2_dlc11_cst_pirates_of_sartosa,wh2_main_skv_clan_skryre,Pirates of Sartosa,Clan Skryre,True,True,retained,Extended,Regional,Workable,Workable,49.919583,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc11_cst_pirates_of_sartosa,wh3_main_ogr_disciples_of_the_maw,Pirates of Sartosa,Disciples of the Maw,False,True,added,,Extended,,Workable,126.977875,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc11_cst_the_drowned,wh2_main_def_cult_of_pleasure,The Drowned,Cult of Pleasure,True,True,retained,Extended,Extended,Workable,Workable,131.5217,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc11_cst_the_drowned,wh2_main_def_hag_graef,The Drowned,Hag Graef,True,False,removed,Regional,Distant,Workable,Workable,311.083643,Outside frozen geographic envelope
wh2_dlc11_cst_the_drowned,wh2_main_def_naggarond,The Drowned,Naggarond,True,True,retained,Extended,Extended,Workable,Workable,117.089584,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc11_cst_vampire_coast,wh2_main_skv_clan_pestilens,The Awakened,Clan Pestilens,True,True,retained,Regional,Extended,Workable,Workable,100.785246,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc11_cst_vampire_coast,wh3_dlc26_kho_skulltaker,The Awakened,Blooded Wanderers,True,True,retained,Extended,Extended,Workable,Workable,120.24848,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc11_cst_vampire_coast,wh3_dlc27_sla_masque_of_slaanesh,The Awakened,The Accursed Troupe,False,True,added,,Extended,,Workable,147.871462,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc11_def_the_blessed_dread,wh2_main_skv_clan_eshin,The Blessed Dread,Clan Eshin,True,True,retained,Regional,Regional,Workable,Workable,82.038584,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc11_def_the_blessed_dread,wh3_dlc20_chs_vilitch,The Blessed Dread,Puppets of Misrule,False,True,added,,Regional,,Workable,55.351451,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc11_def_the_blessed_dread,wh3_dlc27_nor_sayl,The Blessed Dread,Dolgan,True,True,retained,Regional,Extended,Workable,Workable,125.87657,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc11_vmp_the_barrow_legion,wh2_dlc15_grn_broken_axe,The Barrow Legion,Broken Axe,True,True,retained,Regional,Regional,Workable,Workable,46.462372,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc12_lzd_cult_of_sotek,wh2_main_lzd_itza,Cult of Sotek,Itza,True,True,retained,Extended,Extended,Clean,Clean,107.885496,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc13_emp_golden_order,wh2_dlc13_lzd_spirits_of_the_jungle,The Golden Order,Spirit of the Jungle,False,True,added,,Extended,,Workable,133.104695,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc13_emp_golden_order,wh3_cp1_cth_tiger_warriors,The Golden Order,Claws of the White Tiger,False,True,added,,Regional,,Clean,97.535936,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc13_emp_golden_order,wh3_main_cth_the_northern_provinces,The Golden Order,The Northern Provinces,False,True,added,,Extended,,Clean,149.275172,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc13_emp_golden_order,wh3_main_cth_the_western_provinces,The Golden Order,The Western Provinces,False,True,added,,Immediate,,Clean,41.42526,Same province or adjacent starts within 100 world units
wh2_dlc13_emp_golden_order,wh3_main_ogr_goldtooth,The Golden Order,Goldtooth,False,True,added,,Regional,,Workable,79.451977,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc13_emp_the_huntmarshals_expedition,wh2_main_lzd_itza,The Huntsmarshal's Expedition,Itza,True,True,retained,Regional,Regional,Special,Special,93.724849,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc13_emp_the_huntmarshals_expedition,wh3_dlc24_cth_the_celestial_court,The Huntsmarshal's Expedition,The Jade Court,False,True,added,,Regional,,Clean,63.642236,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc13_emp_the_huntmarshals_expedition,wh_main_brt_bordeleaux,The Huntsmarshal's Expedition,Bordeleaux Errant,True,True,retained,Regional,Regional,Clean,Clean,61.070565,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc14_brt_chevaliers_de_lyonesse,wh2_main_lzd_tlaqua,Chevaliers de Lyonesse,Tlaqua,True,False,removed,Extended,Extended,Workable,Workable,99.993959,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 world units)
wh2_dlc14_brt_chevaliers_de_lyonesse,wh3_main_emp_cult_of_sigmar,Chevaliers de Lyonesse,Cult of Sigmar,True,True,retained,Regional,Regional,Clean,Clean,84.398095,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc15_grn_bonerattlaz,wh3_dlc23_chd_astragoth,Bonerattlaz,Disciples of Hashut,True,True,retained,Immediate,Immediate,Workable,Workable,46.462356,Same province or adjacent starts within 100 world units
wh2_dlc15_grn_bonerattlaz,wh3_dlc26_grn_gorbad_ironclaw,Bonerattlaz,Ironclaw Orcs,True,False,removed,Extended,Distant,Clean,Clean,177.039311,Outside frozen geographic envelope
wh2_dlc15_grn_bonerattlaz,wh3_dlc26_kho_arbaal,Bonerattlaz,Challengers of Khorne,False,True,added,,Regional,,Workable,96.505596,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc15_grn_bonerattlaz,wh_main_grn_crooked_moon,Bonerattlaz,Crooked Moon,True,True,retained,Regional,Regional,Clean,Clean,97.340485,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc15_grn_bonerattlaz,wh_main_vmp_schwartzhafen,Bonerattlaz,Sylvania,True,True,retained,Regional,Regional,Workable,Workable,73.943755,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc15_grn_broken_axe,wh2_main_skv_clan_skryre,Broken Axe,Clan Skryre,True,True,retained,Regional,Regional,Workable,Workable,87.111116,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc16_wef_drycha,wh3_main_ksl_the_great_orthodoxy,Wargrove of Woe,The Great Orthodoxy,True,True,retained,Regional,Regional,Workable,Workable,88.936266,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc16_wef_drycha,wh3_main_ksl_the_ice_court,Wargrove of Woe,The Ice Court,True,True,retained,Regional,Regional,Workable,Workable,42.299388,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc16_wef_drycha,wh_main_dwf_karak_kadrin,Wargrove of Woe,Karak Kadrin,True,True,retained,Regional,Regional,Workable,Workable,76.93702,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc16_wef_drycha,wh_main_emp_empire,Wargrove of Woe,Reikland,True,True,retained,Extended,Regional,Workable,Workable,98.998232,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc16_wef_drycha,wh_main_emp_wissenland,Wargrove of Woe,Wissenland & Nuln,True,True,retained,Extended,Regional,Workable,Workable,96.557985,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc16_wef_sisters_of_twilight,wh2_main_hef_nagarythe,Heralds of Ariel,Nagarythe,True,True,retained,Extended,Extended,Workable,Workable,110.990103,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc16_wef_sisters_of_twilight,wh3_dlc24_ksl_daughters_of_the_forest,Heralds of Ariel,Daughters of the Forest,True,True,retained,Regional,Regional,Workable,Workable,45.998978,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc16_wef_sisters_of_twilight,wh3_main_dwf_the_ancestral_throng,Heralds of Ariel,The Ancestral Throng,True,True,retained,Regional,Extended,Workable,Workable,104.067528,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc17_dwf_thorek_ironbrow,wh2_main_hef_order_of_loremasters,Ironbrow's Expedition,Order of Loremasters,False,True,added,,Extended,,Workable,136.951722,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc17_dwf_thorek_ironbrow,wh2_main_lzd_last_defenders,Ironbrow's Expedition,Last Defenders,True,True,retained,Immediate,Immediate,Workable,Workable,38.313519,Same province or adjacent starts within 100 world units
wh2_dlc17_dwf_thorek_ironbrow,wh2_main_lzd_tlaqua,Ironbrow's Expedition,Tlaqua,True,True,retained,Regional,Extended,Workable,Workable,115.121614,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc17_dwf_thorek_ironbrow,wh3_main_emp_cult_of_sigmar,Ironbrow's Expedition,Cult of Sigmar,True,True,retained,Regional,Regional,Clean,Clean,87.947319,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_def_hag_graef,wh2_main_def_har_ganeth,Hag Graef,Har Ganeth,True,False,removed,Regional,Distant,Clean,Clean,267.65053,Outside frozen geographic envelope
wh2_main_def_hag_graef,wh2_main_def_naggarond,Hag Graef,Naggarond,True,False,removed,Immediate,Distant,Clean,Clean,331.69991,Outside frozen geographic envelope
wh2_main_def_hag_graef,wh3_dlc25_nur_epidemius,Hag Graef,Tallymen of Pestilence,False,True,added,,Immediate,,Workable,31.926128,Same province or adjacent starts within 100 world units
wh2_main_def_hag_graef,wh3_main_dae_daemon_prince,Hag Graef,Legion of Chaos,False,True,added,,Regional,,Workable,67.95578,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_def_har_ganeth,wh2_main_def_naggarond,Har Ganeth,Naggarond,True,True,retained,Regional,Regional,Clean,Clean,66.843415,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_def_har_ganeth,wh3_dlc20_chs_sigvald,Har Ganeth,The Decadent Host,False,True,added,,Extended,,Workable,122.219061,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_def_har_ganeth,wh3_dlc20_chs_valkia,Har Ganeth,Legion of the Gorequeen,False,True,added,,Regional,,Workable,76.253401,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_def_naggarond,wh3_dlc20_chs_valkia,Naggarond,Legion of the Gorequeen,False,True,added,,Regional,,Workable,48.731318,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_hef_avelorn,wh2_main_hef_eataine,Avelorn,Eataine,True,True,retained,Extended,Extended,Clean,Clean,53.548357,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_hef_avelorn,wh2_main_hef_yvresse,Avelorn,Yvresse,True,False,removed,Extended,Distant,Clean,Clean,247.972699,"Outside frozen geographic envelope; topology/theaters use descriptive coastal anchors, not a verified sea route"
wh2_main_hef_eataine,wh2_main_hef_yvresse,Eataine,Yvresse,True,False,removed,Extended,Distant,Clean,Clean,231.646128,"Outside frozen geographic envelope; topology/theaters use descriptive coastal anchors, not a verified sea route"
wh2_main_hef_nagarythe,wh3_dlc24_ksl_daughters_of_the_forest,Nagarythe,Daughters of the Forest,True,True,retained,Extended,Extended,Clean,Clean,136.647267,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_hef_nagarythe,wh3_main_dwf_the_ancestral_throng,Nagarythe,The Ancestral Throng,True,True,retained,Extended,Extended,Workable,Workable,132.957104,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_hef_order_of_loremasters,wh2_main_lzd_last_defenders,Order of Loremasters,Last Defenders,False,True,added,,Extended,,Workable,126.230617,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_hef_order_of_loremasters,wh2_main_lzd_tlaqua,Order of Loremasters,Tlaqua,False,True,added,,Extended,,Workable,114.85771,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_lzd_hexoatl,wh3_dlc24_cth_the_celestial_court,Hexoatl,The Jade Court,False,True,added,,Extended,,Workable,70.962613,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_lzd_hexoatl,wh3_dlc24_ksl_daughters_of_the_forest,Hexoatl,Daughters of the Forest,False,True,added,,Regional,,Workable,97.828319,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_lzd_itza,wh_main_brt_bordeleaux,Itza,Bordeleaux Errant,True,True,retained,Regional,Regional,Workable,Workable,76.848031,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_lzd_last_defenders,wh2_main_lzd_tlaqua,Last Defenders,Tlaqua,True,True,retained,Regional,Extended,Clean,Clean,137.947406,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_lzd_last_defenders,wh3_main_emp_cult_of_sigmar,Last Defenders,Cult of Sigmar,True,True,retained,Regional,Extended,Workable,Workable,118.340641,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_lzd_tlaqua,wh3_main_emp_cult_of_sigmar,Tlaqua,Cult of Sigmar,True,True,retained,Regional,Regional,Workable,Workable,39.279731,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_skv_clan_eshin,wh3_dlc20_chs_vilitch,Clan Eshin,Puppets of Misrule,False,True,added,,Extended,,Workable,113.895276,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_skv_clan_eshin,wh3_dlc23_chd_zhatan,Clan Eshin,The Warhost of Zharr,True,True,retained,Extended,Extended,Workable,Workable,138.037936,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_skv_clan_eshin,wh3_dlc27_nor_sayl,Clan Eshin,Dolgan,True,True,retained,Extended,Extended,Workable,Workable,149.281148,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_skv_clan_mors,wh3_dlc26_grn_gorbad_ironclaw,Clan Mors,Ironclaw Orcs,True,True,retained,Regional,Regional,Workable,Workable,70.601172,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_skv_clan_mors,wh3_main_kho_exiles_of_khorne,Clan Mors,Exiles of Khorne,True,True,retained,Immediate,Regional,Workable,Workable,70.525256,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_skv_clan_mors,wh_main_grn_crooked_moon,Clan Mors,Crooked Moon,False,True,added,,Extended,,Workable,144.680269,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_skv_clan_moulder,wh3_dlc20_chs_azazel,Clan Moulder,The Ecstatic Legions,False,True,added,,Regional,,Workable,49.997001,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_skv_clan_moulder,wh3_dlc20_chs_festus,Clan Moulder,The Fecundites,True,True,retained,Regional,Regional,Workable,Workable,93.011118,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_skv_clan_moulder,wh_dlc08_nor_wintertooth,Clan Moulder,Wintertooth,True,True,retained,Regional,Regional,Workable,Workable,71.530554,Within 100 units with neighboring provinces or at most four raster borders
wh2_main_skv_clan_pestilens,wh3_dlc26_kho_skulltaker,Clan Pestilens,Blooded Wanderers,True,True,retained,Extended,Extended,Workable,Workable,119.112425,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_skv_clan_pestilens,wh3_dlc27_sla_masque_of_slaanesh,Clan Pestilens,The Accursed Troupe,False,True,added,,Extended,,Workable,140.702051,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_main_skv_clan_skryre,wh3_main_ogr_disciples_of_the_maw,Clan Skryre,Disciples of the Maw,True,True,retained,Extended,Extended,Workable,Workable,126.682329,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_twa03_def_rakarth,wh3_dlc26_kho_skulltaker,The Thousand Maws,Blooded Wanderers,True,True,retained,Regional,Regional,Workable,Workable,56.88884,Within 100 units with neighboring provinces or at most four raster borders
wh2_twa03_def_rakarth,wh3_dlc27_sla_masque_of_slaanesh,The Thousand Maws,The Accursed Troupe,False,True,added,,Extended,,Workable,46.864024,Shared atlas theater and either at most six raster borders or at most 75 world units
wh3_cp1_cth_tiger_warriors,wh3_dlc24_cth_the_celestial_court,Claws of the White Tiger,The Jade Court,True,False,removed,Regional,Distant,Clean,Clean,691.75532,Outside frozen geographic envelope
wh3_cp1_cth_tiger_warriors,wh3_main_cth_the_northern_provinces,Claws of the White Tiger,The Northern Provinces,True,True,retained,Regional,Regional,Clean,Clean,81.602235,Within 100 units with neighboring provinces or at most four raster borders
wh3_cp1_cth_tiger_warriors,wh3_main_cth_the_western_provinces,Claws of the White Tiger,The Western Provinces,True,True,retained,Immediate,Immediate,Clean,Clean,56.114808,Same province or adjacent starts within 100 world units
wh3_cp1_cth_tiger_warriors,wh3_main_ogr_goldtooth,Claws of the White Tiger,Goldtooth,True,True,retained,Regional,Regional,Workable,Workable,49.650634,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc20_chs_azazel,wh3_main_ksl_the_great_orthodoxy,The Ecstatic Legions,The Great Orthodoxy,False,True,added,,Regional,,Workable,30.768236,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc20_chs_azazel,wh3_main_ksl_the_ice_court,The Ecstatic Legions,The Ice Court,False,True,added,,Regional,,Workable,91.703233,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc20_chs_azazel,wh_dlc08_nor_wintertooth,The Ecstatic Legions,Wintertooth,False,True,added,,Regional,,Workable,45.707063,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc20_chs_festus,wh_main_vmp_schwartzhafen,The Fecundites,Sylvania,True,True,retained,Extended,Extended,Workable,Workable,113.116811,Shared atlas theater and either at most six raster borders or at most 75 world units
wh3_dlc20_chs_kholek,wh3_dlc23_chd_zhatan,Heralds of the Tempest,The Warhost of Zharr,False,True,added,,Regional,,Workable,82.580757,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc20_chs_kholek,wh3_dlc25_nur_tamurkhan,Heralds of the Tempest,The Maggot Host,False,True,added,,Regional,,Workable,69.71057,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc20_chs_kholek,wh3_dlc26_kho_arbaal,Heralds of the Tempest,Challengers of Khorne,False,True,added,,Extended,,Workable,123.398858,Shared atlas theater and either at most six raster borders or at most 75 world units
wh3_dlc20_chs_kholek,wh_main_chs_chaos,Heralds of the Tempest,Warhost of the Apocalypse,False,True,added,,Extended,,Clean,127.566985,Shared atlas theater and either at most six raster borders or at most 75 world units
wh3_dlc20_chs_kholek,wh_main_grn_greenskins,Heralds of the Tempest,Grimgor's 'Ardboyz,False,True,added,,Regional,,Workable,61.633066,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc20_chs_vilitch,wh3_dlc23_chd_zhatan,Puppets of Misrule,The Warhost of Zharr,False,True,added,,Extended,,Workable,133.421699,Shared atlas theater and either at most six raster borders or at most 75 world units
wh3_dlc20_chs_vilitch,wh3_dlc27_nor_sayl,Puppets of Misrule,Dolgan,False,True,added,,Regional,,Workable,76.971788,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc23_chd_astragoth,wh3_dlc26_kho_arbaal,Disciples of Hashut,Challengers of Khorne,True,True,retained,Regional,Regional,Workable,Workable,72.558802,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc23_chd_astragoth,wh_main_grn_greenskins,Disciples of Hashut,Grimgor's 'Ardboyz,True,True,retained,Regional,Regional,Workable,Workable,80.810874,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc23_chd_zhatan,wh3_dlc27_nor_sayl,The Warhost of Zharr,Dolgan,True,True,retained,Extended,Regional,Workable,Workable,81.624098,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc24_cth_the_celestial_court,wh3_main_cth_the_northern_provinces,The Jade Court,The Northern Provinces,True,False,removed,Extended,Distant,Clean,Clean,754.483876,Outside frozen geographic envelope
wh3_dlc24_cth_the_celestial_court,wh3_main_cth_the_western_provinces,The Jade Court,The Western Provinces,True,False,removed,Regional,Distant,Clean,Clean,712.68151,Outside frozen geographic envelope
wh3_dlc24_cth_the_celestial_court,wh3_main_ogr_goldtooth,The Jade Court,Goldtooth,True,False,removed,Regional,Distant,Workable,Workable,664.599329,Outside frozen geographic envelope
wh3_dlc24_ksl_daughters_of_the_forest,wh3_main_dwf_the_ancestral_throng,Daughters of the Forest,The Ancestral Throng,True,True,retained,Extended,Extended,Clean,Clean,149.498245,Shared atlas theater and either at most six raster borders or at most 75 world units
wh3_dlc24_tze_the_deceivers,wh_main_vmp_schwartzhafen,The Deceivers,Sylvania,False,True,added,,Regional,,Workable,55.689021,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc25_dwf_malakai,wh3_main_ksl_the_great_orthodoxy,Masters of Innovation,The Great Orthodoxy,True,True,retained,Regional,Regional,Clean,Clean,76.894488,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc25_dwf_malakai,wh3_main_ksl_the_ice_court,Masters of Innovation,The Ice Court,True,True,retained,Regional,Regional,Clean,Clean,92.317617,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc25_nur_epidemius,wh3_main_dae_daemon_prince,Tallymen of Pestilence,Legion of Chaos,False,True,added,,Regional,,Workable,38.653656,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc25_nur_tamurkhan,wh3_dlc26_kho_arbaal,The Maggot Host,Challengers of Khorne,True,True,retained,Extended,Regional,Workable,Workable,91.410796,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc25_nur_tamurkhan,wh_main_chs_chaos,The Maggot Host,Warhost of the Apocalypse,False,True,added,,Immediate,,Workable,65.956267,Same province or adjacent starts within 100 world units
wh3_dlc26_grn_gorbad_ironclaw,wh3_main_ogr_disciples_of_the_maw,Ironclaw Orcs,Disciples of the Maw,False,True,added,,Regional,,Workable,76.824789,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc26_grn_gorbad_ironclaw,wh_main_grn_crooked_moon,Ironclaw Orcs,Crooked Moon,True,True,retained,Regional,Regional,Clean,Clean,88.989804,Within 100 units with neighboring provinces or at most four raster borders
wh3_dlc26_kho_arbaal,wh_main_chs_chaos,Challengers of Khorne,Warhost of the Apocalypse,False,True,added,,Regional,,Workable,60.167554,Within 100 units with neighboring provinces or at most four raster borders
wh3_main_cth_the_northern_provinces,wh3_main_cth_the_western_provinces,The Northern Provinces,The Western Provinces,True,True,retained,Extended,Extended,Clean,Clean,115.137102,Shared atlas theater and either at most six raster borders or at most 75 world units
wh3_main_cth_the_western_provinces,wh3_main_ogr_goldtooth,The Western Provinces,Goldtooth,True,True,retained,Regional,Regional,Workable,Workable,48.889802,Within 100 units with neighboring provinces or at most four raster borders
wh3_main_kho_exiles_of_khorne,wh_main_vmp_vampire_counts,Exiles of Khorne,The Drakenhof Conclave,True,True,retained,Regional,Regional,Workable,Workable,72.824822,Within 100 units with neighboring provinces or at most four raster borders
wh3_main_ksl_the_great_orthodoxy,wh3_main_ksl_the_ice_court,The Great Orthodoxy,The Ice Court,True,True,retained,Regional,Immediate,Clean,Clean,62.686058,Same province or adjacent starts within 100 world units
wh3_main_ksl_the_ice_court,wh_main_dwf_karak_kadrin,The Ice Court,Karak Kadrin,True,True,retained,Regional,Regional,Clean,Clean,87.00177,Within 100 units with neighboring provinces or at most four raster borders
wh3_main_nur_poxmakers_of_nurgle,wh3_main_vmp_caravan_of_blue_roses,Poxmakers of Nurgle,Caravan of Blue Roses,False,True,added,,Regional,,Workable,64.427447,Within 100 units with neighboring provinces or at most four raster borders
